type_bin	size_bin	wpi_country_from	wpi_country_to	GroupCount	mean_sog	mean_voyage_time	total_co2_million_tonnes	domestic_fl	trade_type	sids_fl	ldc_fl	year
4	4	'Mexico'	'United States of America'	174	12.90356052	5.482998084	0.190534229	0	3	0	0	2012
4	2	'Malaysia'	'Malaysia'	910	11.08476819	2.978113553	0.190149639	1	2	1	1	2012
4	7	'United Arab Emirates'	'Singapore'	55	15.76999338	11.05227273	0.190094118	0	1	1	0	2012
4	5	'Japan'	'Mexico'	47	17.48409452	14.27836879	0.189411836	0	4	1	0	2012
4	4	'China'	'Malaysia'	243	13.95969541	5.025377229	0.187511815	0	4	0	0	2012
4	6	'Saudi Arabia'	'Malaysia'	51	16.51067108	11.39215686	0.187274593	0	2	0	1	2012
4	7	'Egypt'	'China'	23	16.9896618	20.92934783	0.186592783	0	1	1	0	2012
4	7	'China'	'Egypt'	26	17.18325431	16.2275641	0.186405219	0	1	1	0	2012
1	4	'Brazil'	'Brazil'	979	7.916502324	3.864019408	0.186261235	1	1	0	0	2012
1	2	'Australia'	'Australia'	1284	10.28122946	3.009832555	0.184978186	1	4	1	1	2012
7	5	'India'	'India'	426	8.448540477	5.20764867	0.184332863	1	2	1	0	2012
4	4	'United States of America'	'Belgium'	90	17.71724111	8.805092593	0.184240074	0	3	1	1	2012
7	8	'Saudi Arabia'	'United Arab Emirates'	59	10.47705861	15.00282486	0.184085109	0	4	1	0	2012
4	5	'Egypt'	'Saudi Arabia'	257	13.86158898	3.149319066	0.18401147	0	2	1	1	2012
1	3	'United States of America'	'Japan'	135	11.54727828	20.45709877	0.183836268	0	4	1	0	2012
4	4	'Singapore'	'India'	120	16.36602547	7.233680556	0.183452348	0	3	1	1	2012
4	5	'Brazil'	'Morocco'	63	17.22797372	9.106481481	0.18278787	0	2	1	0	2012
1	3	'Chile'	'Japan'	73	12.0860801	34.09189498	0.182703135	0	1	1	0	2012
4	5	'Saudi Arabia'	'Malaysia'	59	16.46752384	11.86370056	0.182386633	0	3	0	1	2012
4	5	'Spain'	'Brazil'	65	17.07078347	10.09294872	0.181475234	0	1	0	1	2012
1	3	'Panama'	'United States of America'	305	11.87678462	8.445218579	0.180808769	0	4	1	1	2012
1	2	'United States of America'	'Japan'	168	11.65038035	19.02579365	0.180649217	0	3	0	1	2012
4	2	'Indonesia'	'Singapore'	683	11.86778668	2.862371889	0.179764515	0	2	1	0	2012
4	7	'Egypt'	'Singapore'	28	16.36538562	17.46428571	0.179507266	0	2	0	0	2012
7	5	'United States of America'	'United States of America'	801	8.088806206	2.831044528	0.17948519	1	3	1	0	2012
4	4	'Malaysia'	'India'	155	15.46914194	6.22016129	0.179430141	0	4	1	0	2012
1	3	'Indonesia'	'Singapore'	524	9.743190204	5.852894402	0.179361805	0	1	1	1	2012
4	4	'Japan'	'Mexico'	42	18.36389405	15.18650794	0.179027095	0	4	0	0	2012
1	4	'China'	'Canada'	140	11.77451723	18.87767857	0.17846363	0	3	1	0	2012
4	5	'Singapore'	'Hong Kong S.A.R.'	149	16.6817191	4.193232662	0.177974721	0	1	1	1	2012
4	6	'United States of America'	'Egypt'	30	16.3340261	17.38194444	0.177416959	0	2	1	1	2012
